,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
20,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
21,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
22,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
23,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
24,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
25,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
26,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
27,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
28,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
29,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
30,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
31,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
32,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
33,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0]]",0.10482830683369856,5,(0.18*(1-0.666*(x[0]-33.941)|_div_|18.975)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416)))*(1-_sig_(0.2*(x[0]-(18.975+33.941))))+0.18*(1-0.666)*_exp_((18.975+33.941-x[0])|_div_|40.076)|_div_|(1+_exp_((33.941-x[0])|_div_|13.416))*_sig_(0.2*(x[0]-(18.975+33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 1, 1, 3, 2, 1, 6, 2, 6, 2, 2, 4, 2, 1, 6]"
