,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
10,"[[0], [0], [0], [0], [0, 4, 4, 2, 3, 4, 1, 3, 2, 1, 5, 5, 1, 5, 5, 2, 5, 0, 4, 5, 0, 1, 1, 3, 4, 5, 0, 4, 3, 4, 2, 2, 1, 5, 2, 4, 3, 4, 4, 0, 4, 4, 5, 4, 4, 5, 4, 5, 4, 3, 4, 5], [0], [], [], [3, 3], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 2, 0, 2, 0, 3, 4, 1, 2, 1, 0, 2, 1, 5], [], [], [], [0, 0], [], []]",1.3334899808805243,"[1, 1, 1, 1, 6, 1, 0, 0, 2, 0, 2, 3, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",7,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[2]+cte[0]))))+_exp_(x[0]|_div_|cte[2])*_sig_(0.2*(x[0]-(cte[0]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
11,"[[0], [0], [0], [0], [0, 4, 4, 2, 0, 5, 4, 3, 2, 1, 5, 5, 1, 5, 5, 2, 5, 0, 4, 5, 0, 1, 1, 3, 4, 5, 0, 4, 3, 4, 2, 2, 1, 5, 2, 4, 3, 4, 4, 0, 4, 4, 5, 4, 4, 5, 4, 5, 4, 3, 4, 5], [0], [], [], [3, 3, 0, 2, 1], [], [0, 0], [0, 0, 0, 0, 0], [], [], [], [3, 2, 2, 0, 2, 0, 0, 4, 1, 2, 1, 0, 2, 1, 5], [], [], [], [0, 0], [], []]",1.333506038806572,"[1, 1, 1, 1, 7, 1, 0, 0, 2, 0, 2, 3, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",7,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[2]+cte[0]))))+_exp_(x[0]|_div_|cte[2])*_sig_(0.2*(x[0]-(cte[0]+cte[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
12,"[[0], [0], [0], [0], [0, 4, 4, 2, 0, 5, 4, 3, 2, 1, 5, 5, 1, 5, 5, 2, 5, 0, 4, 5, 0, 1, 1, 3, 4, 5, 0, 4, 3, 4, 2, 2, 1, 5, 2, 4, 3, 4, 4, 0, 4, 4, 5, 4, 4, 5, 4, 5, 4, 3, 4, 5], [0], [], [], [3, 3, 0, 2, 1], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 3, 2, 2, 0, 3, 4, 1, 2, 1, 0, 2, 1, 5], [], [], [], [0, 0], [], []]",1.336384950982593,"[1, 1, 1, 1, 7, 1, 0, 0, 2, 0, 2, 3, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",7,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[3]+cte[2]))))+_exp_(x[0]|_div_|cte[2])*_sig_(0.2*(x[0]-(cte[0]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
13,"[[0], [0], [0], [0], [0, 4, 4, 2, 0, 5, 4, 3, 2, 1, 5, 5, 1, 5, 5, 2, 5, 0, 4, 5, 0, 1, 1, 3, 4, 5, 0, 4, 3, 4, 2, 2, 1, 5, 2, 4, 3, 4, 4, 0, 4, 4, 5, 4, 4, 5, 4, 5, 4, 3, 4, 5], [0], [], [], [3, 3, 0, 2, 1], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 3, 2, 2, 2, 3, 4, 1, 2, 1, 0, 2, 1, 5], [], [], [], [0, 0], [], []]",1.3533482367398584,"[1, 1, 1, 1, 7, 1, 0, 0, 2, 0, 2, 3, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",7,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[3]+cte[2]))))+_exp_(x[0]|_div_|cte[2])*_sig_(0.2*(x[0]-(cte[2]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
14,"[[0], [0], [0], [0], [0, 4, 4, 2, 0, 5, 4, 3, 2, 1, 5, 5, 1, 5, 5, 2, 5, 0, 4, 5, 0, 1, 1, 3, 4, 5, 0, 4, 3, 4, 2, 2, 1, 5, 2, 4, 3, 4, 4, 0, 4, 4, 5, 4, 4, 5, 4, 5, 4, 3, 4, 5], [0], [], [], [3, 3, 0, 2, 1], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 2, 0, 2, 0, 2, 4, 1, 2, 1, 0, 2, 1, 5], [], [], [], [0, 0], [], []]",1.375307289313597,"[1, 1, 1, 1, 7, 1, 0, 0, 2, 0, 2, 3, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",7,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[2]+cte[0]))))+_exp_(x[0]|_div_|cte[2])*_sig_(0.2*(x[0]-(cte[0]+cte[2]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
15,"[[0], [0], [0], [0], [0, 4, 4, 4, 5, 0, 5, 4, 5, 5, 4, 4, 1, 0, 4, 4, 4, 5, 5, 3, 5, 4, 4, 0, 0, 4, 0, 1, 0, 3, 3, 2, 3, 4, 1, 0, 5, 2, 5, 2, 0, 1, 0, 4, 5, 4, 5, 0, 5, 4, 2, 5, 5, 5, 0, 2, 5, 0, 0, 3, 5, 4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 0, 4, 4, 5, 1, 2, 4, 4], [0], [], [], [3, 3], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 4, 4, 2, 5, 3], [], [], [], [0, 0], [], []]",1.4463052180593123,"[1, 1, 1, 1, 4, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",6,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[4]+cte[4]))))+cte[2]*_sig_(0.2*(x[0]-(cte[5]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
16,"[[0], [0], [0], [0], [0, 4, 4, 4, 5, 0, 5, 4, 5, 5, 4, 4, 1, 0, 4, 4, 4, 5, 5, 3, 5, 4, 4, 0, 0, 4, 0, 1, 0, 3, 3, 2, 3, 4, 1, 0, 5, 2, 5, 2, 0, 1, 0, 4, 5, 4, 5, 0, 5, 4, 2, 5, 5, 5, 0, 2, 5, 0, 0, 3, 5, 4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 0, 4, 4, 5, 1, 2, 4, 4], [0], [], [], [3, 2, 3, 0, 2, 2, 1, 2, 2, 0, 0, 2, 1, 0, 0, 3, 2, 3, 3, 1, 0, 2, 3, 0, 0, 1, 0, 2, 2, 3, 2, 1, 0, 0, 1, 2, 1, 1, 1, 1], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 4, 4, 2, 5, 3], [], [], [], [0, 0], [], []]",1.4463052180593123,"[1, 1, 1, 1, 4, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",6,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[4]+cte[4]))))+cte[2]*_sig_(0.2*(x[0]-(cte[5]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
17,"[[0], [0], [0], [0], [0, 4, 4, 4, 2, 3, 5, 5, 5, 2, 4, 3, 1, 0, 4, 2, 1, 1, 5, 3, 4, 5, 1, 0, 4, 4, 0, 4, 0, 3, 3, 5, 3, 5, 1, 4, 1, 2, 5, 5, 4, 5, 5, 5, 5, 3, 5, 0, 5, 4, 2, 5, 4, 4, 0, 2, 5, 0, 0, 3, 4, 4, 5, 4, 5, 3, 0, 2, 3, 4, 4, 5, 4, 3, 4, 5, 1, 4, 4, 4], [0], [], [], [3, 2], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 4, 4, 2, 5, 3], [], [], [], [0, 0], [], []]",1.4463052180593123,"[1, 1, 1, 1, 4, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",6,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[4]+cte[4]))))+cte[2]*_sig_(0.2*(x[0]-(cte[5]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
18,"[[0], [0], [0], [0], [0, 4, 4, 4, 5], [0, 0], [], [], [3, 3, 2], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 4, 4, 2, 5, 3], [], [], [], [0, 0], [], []]",1.4463052180593123,"[1, 1, 1, 1, 4, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",6,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[4]+cte[4]))))+cte[2]*_sig_(0.2*(x[0]-(cte[5]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
19,"[[0], [0], [0], [0], [0, 4, 4, 4, 5, 0, 5, 4, 5, 5, 4, 4, 1, 0, 4, 4, 4, 5, 5, 3, 5, 4, 4, 0, 0, 4, 0, 1, 0, 3, 3, 2, 3, 4, 1, 0, 5, 2, 5, 2, 0, 1, 0, 4, 5, 4, 5, 0, 5, 4, 2, 5, 5, 5, 0, 2, 5, 0, 0, 3, 5, 4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 0, 4, 4, 5, 1, 2, 4, 4], [0], [], [], [3, 3], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 4, 4, 2, 5, 3], [], [], [], [0, 0], [], []]",1.4463052180593123,"[1, 1, 1, 1, 4, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",6,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[4]+cte[4]))))+cte[2]*_sig_(0.2*(x[0]-(cte[5]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
20,"[[0], [0], [0], [0], [0, 4, 4, 4, 0, 5, 4, 3, 2, 1, 5, 5, 1, 5, 5, 2, 5, 0, 4, 5, 0, 1, 1, 3, 4, 5, 0, 4, 3, 4, 2, 2, 1, 5, 2, 4, 3, 4, 4, 0, 4, 4, 5, 4, 4, 5, 4, 5, 4, 3, 4, 5], [0], [], [], [3, 2, 1, 2, 3, 0, 2, 1, 1, 2, 3, 1, 1], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 4, 4, 2, 5, 3], [], [], [], [0, 0], [], []]",1.4463052180593123,"[1, 1, 1, 1, 4, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",6,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[4]+cte[4]))))+cte[2]*_sig_(0.2*(x[0]-(cte[5]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
21,"[[0], [0], [0], [0], [0, 4, 4, 4, 3, 2, 0, 4, 5, 5, 4, 4, 1, 0, 4, 4, 4, 5, 5, 3, 5, 4, 4, 0, 0, 4, 0, 1, 0, 3, 3, 2, 3, 4, 1, 0, 5, 2, 5, 2, 0, 1, 0, 4, 5, 4, 5, 0, 5, 4, 2, 5, 5, 5, 0, 2, 5, 0, 0, 3, 5, 4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 0, 4, 4, 5, 1, 2, 4, 4], [0], [], [], [3, 2, 3, 0, 2, 2, 1, 2, 2, 0, 0, 2, 1, 0, 0, 3, 2, 3, 3, 1, 0, 2, 3, 0, 0, 1, 0, 2, 2, 3, 2, 1, 0, 0, 1, 2, 1, 1, 1, 1], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 4, 4, 2, 5, 3], [], [], [], [0, 0], [], []]",1.4463052180593123,"[1, 1, 1, 1, 4, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",6,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[4]+cte[4]))))+cte[2]*_sig_(0.2*(x[0]-(cte[5]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
22,"[[0], [0], [0], [0], [0, 4, 4, 4, 3, 2, 0, 4, 5, 5, 4, 4, 1, 0, 4, 4, 4, 5, 5, 3, 5, 4, 4, 0, 0, 4, 0, 1, 0, 3, 3, 2, 3, 4, 1, 0, 5, 2, 5, 2, 0, 1, 0, 4, 5, 4, 5, 0, 5, 4, 2, 5, 5, 5, 0, 2, 5, 0, 0, 3, 5, 4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 0, 4, 4, 5, 1, 2, 4, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [3, 2, 3, 0, 2, 2, 1, 2, 2, 0, 0, 2, 1, 0, 0, 3, 2, 3, 3, 1, 0, 2, 3, 0, 0, 1, 0, 2, 2, 3, 2, 1, 0, 0, 1, 2, 1, 1, 1, 1], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 4, 4, 2, 5, 3], [], [], [], [0, 0], [], []]",1.4463052180593123,"[1, 1, 1, 1, 4, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",6,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[4]+cte[4]))))+cte[2]*_sig_(0.2*(x[0]-(cte[5]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
23,"[[0], [0], [0], [0], [0, 4, 4, 4, 3, 2, 0, 4, 5, 5, 4, 4, 1, 0, 4, 4, 4, 5, 5, 3, 5, 4, 4, 0, 0, 4, 0, 1, 0, 3, 3, 2, 3, 4, 1, 0, 5, 2, 5, 2, 0, 1, 0, 4, 5, 4, 5, 0, 5, 4, 2, 5, 5, 5, 0, 2, 5, 0, 0, 3, 5, 4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 0, 4, 4, 5, 1, 2, 4, 4], [0], [], [], [3, 2, 3, 0, 2, 2, 1, 2, 2, 0, 0, 2, 1, 0, 0, 3, 2, 3, 3, 1, 0, 2, 3, 0, 0, 1, 0, 2, 2, 3, 2, 1, 0, 0, 1, 2, 1, 1, 1, 1], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 4, 4, 2, 5, 3], [], [], [], [0, 0], [], []]",1.4463052180593123,"[1, 1, 1, 1, 4, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",6,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[4]+cte[4]))))+cte[2]*_sig_(0.2*(x[0]-(cte[5]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
24,"[[0], [0], [0], [0], [0, 4, 4, 4, 3, 2, 0, 4, 5, 5, 4, 4, 1, 0, 4, 4, 4, 5, 5, 3, 5, 4, 4, 0, 0, 4, 0, 1, 0, 3, 3, 2, 3, 4, 1, 0, 5, 2, 5, 2, 0, 1, 0, 4, 5, 4, 5, 0, 5, 4, 2, 5, 5, 5, 0, 2, 5, 0, 0, 3, 5, 4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 0, 4, 4, 5, 1, 2, 4, 4], [0], [], [], [3, 3, 2, 1, 2, 3, 0], [], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [], [], [], [3, 2, 4, 4, 2, 5, 3], [], [], [], [0, 0], [], []]",1.4463052180593123,"[1, 1, 1, 1, 4, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0]",6,cte[3]|_div_|cte[2]*(1-_sig_(0.2*(x[0]-(cte[4]+cte[4]))))+cte[2]*_sig_(0.2*(x[0]-(cte[5]+cte[3]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
