,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
10,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 4, 2, 7, 4, 2, 2, 1, 7, 4, 4, 0, 1, 3, 2, 1, 7, 3, 3, 7, 4]]",0.011729376629698121,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.274*(x[0]-22.17))))|_div_|(((_exp_((x[0]-44.01)|_div_|32.17)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
11,"[[0], [0, 1, 0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 2, 1], [0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 0, 4, 9, 2, 2, 1, 1, 9, 5, 5, 9, 8, 5, 3, 1, 1, 3, 3, 7, 7, 5, 6, 9, 9]]",0.011897808102341706,"[1, 7, 3, 3, 1, 5, 2, 26]",8,0.030+(((_sig_(0.492*(x[0]-21.19))))|_div_|(((_exp_((x[0]-55.98)|_div_|53.11)))*(((_exp_((x[0]-33.77)|_div_|56.99)))+(x[0])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
12,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 3], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 3, 0, 2, 8, 9, 2, 0, 2, 7, 4, 7, 9, 1, 5, 0, 6, 3, 3, 3, 7, 4]]",0.011967895091219479,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.030+(((_sig_(0.289*(x[0]-20.27))))|_div_|(((_exp_((x[0]-47.91)|_div_|50.63)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
13,"[[0], [0, 1, 0, 0, 2, 0, 2, 3, 1, 1], [3, 1, 3, 0], [3, 0, 2], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 0, 6, 0, 8, 2, 4, 7, 1, 1, 4, 9, 2, 8, 5, 7, 7, 3, 3, 7, 4, 1, 2, 3, 0]]",0.012010102727737653,"[1, 10, 4, 3, 1, 5, 2, 26]",9,0.030+(((_sig_(0.608*(x[0]-24.71))))|_div_|(((14.92)-((85.77)|_div_|(x[0])))+((_exp_((_exp_((x[0]-33.74)|_div_|12.30))))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
14,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 4, 4, 0, 1, 2, 5, 8, 2, 5, 7, 5, 8, 3, 3, 1, 0, 3, 3, 7, 4]]",0.012015755132821179,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.401*(x[0]-25.82))))|_div_|(((_exp_((x[0]-57.58)|_div_|33.10)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
15,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 3], [0, 0], [0, 0], [0, 0, 0], [0, 0, 7, 2, 7, 2, 2, 4, 6, 1, 0, 4, 9, 4, 8, 2, 3, 7, 3, 3, 7, 4]]",0.012030446678007217,"[1, 5, 2, 2, 1, 2, 3, 17]",7,0.007+(((_sig_(0.272*(x[0]-24.61))))|_div_|(((_sig_(0.049*(x[0]-48.23))))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
16,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 3], [0, 0], [0, 0], [0, 0, 0], [0, 0, 7, 2, 7, 2, 2, 4, 6, 1, 0, 4, 9, 4, 8, 2, 3, 7, 3, 3, 7, 4]]",0.012030446678007217,"[1, 5, 2, 2, 1, 2, 3, 17]",7,0.007+(((_sig_(0.272*(x[0]-24.61))))|_div_|(((_sig_(0.049*(x[0]-48.23))))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
17,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 2, 3], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 1, 3, 8, 0, 2, 2, 8, 5, 5, 6, 9, 8, 5, 7, 5, 1, 3, 3, 7, 4]]",0.012053895916895192,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.031+(((_sig_(0.380*(x[0]-22.85))))|_div_|(((_exp_((x[0]-56.98)|_div_|57.51)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
18,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 3], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 3, 3, 6, 0, 2, 2, 8, 1, 5, 8, 9, 2, 5, 7, 5, 1, 3, 3, 7, 4]]",0.012101022005652254,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.033+(((_sig_(0.360*(x[0]-22.81))))|_div_|(((_exp_((x[0]-58.92)|_div_|57.51)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
19,"[[0], [0, 1, 0, 0, 3, 1, 1], [3, 2, 0, 0], [3, 2, 1], [0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 4, 3, 1, 9, 2, 1, 8, 6, 5, 7, 9, 8, 5, 3, 7, 6, 3, 3, 7, 4, 8, 0, 0, 1]]",0.01211126808130422,"[1, 7, 3, 3, 1, 5, 2, 26]",8,0.034+(((_sig_(0.319*(x[0]-21.86))))|_div_|(((x[0])*((_exp_((x[0]-57.98)|_div_|53.76))))+((_exp_((x[0]-33.74)|_div_|80.01))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
20,"[[0], [0, 1, 0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 3], [0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 3, 0, 2, 8, 9, 2, 0, 6, 4, 4, 7, 6, 8, 5, 0, 1, 3, 3, 3, 7, 4, 0, 9, 9]]",0.012116645591847788,"[1, 7, 3, 3, 1, 4, 3, 25]",8,0.030+(((_sig_(0.289*(x[0]-20.64))))|_div_|(((_exp_((x[0]-47.68)|_div_|50.13)))*(((_sig_(0.337*(x[0]-40.99))))+(x[0])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
21,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 3], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 4, 3, 6, 8, 2, 1, 8, 6, 5, 7, 2, 1, 5, 3, 1, 1, 3, 3, 7, 4]]",0.012140858095786465,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.368*(x[0]-21.86))))|_div_|(((_exp_((x[0]-57.21)|_div_|53.11)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
22,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 4, 3, 6, 2, 2, 1, 8, 6, 5, 7, 9, 8, 5, 3, 6, 1, 3, 3, 7, 4]]",0.012142341550207054,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.362*(x[0]-21.86))))|_div_|(((_exp_((x[0]-57.98)|_div_|53.61)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
23,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 4, 3, 6, 8, 2, 1, 8, 1, 5, 7, 2, 1, 5, 3, 1, 1, 3, 3, 7, 4]]",0.012143890528128063,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.368*(x[0]-21.81))))|_div_|(((_exp_((x[0]-57.21)|_div_|53.11)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
24,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 2, 3, 1, 6, 2, 4, 5, 8, 5, 7, 1, 1, 5, 0, 1, 9, 3, 3, 7, 4]]",0.012149006332569219,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.032+(((_sig_(0.316*(x[0]-24.58))))|_div_|(((_exp_((x[0]-57.11)|_div_|50.19)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
25,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 3], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 2, 3, 1, 6, 2, 4, 5, 8, 5, 7, 2, 5, 5, 0, 9, 6, 3, 3, 7, 4]]",0.012224927818506998,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.032+(((_sig_(0.316*(x[0]-24.58))))|_div_|(((_exp_((x[0]-57.25)|_div_|50.96)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
26,"[[0], [0, 1, 0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 1], [0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 4, 3, 9, 2, 2, 1, 1, 9, 5, 5, 9, 1, 5, 3, 1, 1, 3, 3, 7, 4, 5, 6, 7, 9]]",0.01229243426861023,"[1, 7, 3, 3, 1, 5, 2, 26]",8,0.034+(((_sig_(0.392*(x[0]-21.19))))|_div_|(((_exp_((x[0]-55.91)|_div_|53.11)))*(((_exp_((x[0]-33.74)|_div_|56.79)))+(x[0])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
27,"[[0], [0, 1, 0, 1, 3, 1, 2], [3, 2, 0, 0], [3, 3, 3], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 6, 3, 3, 4, 2, 2, 2, 8, 0, 6, 0, 3, 8, 8, 8, 7, 3, 3, 7, 4, 8, 5]]",0.012307854225652674,"[1, 5, 2, 2, 1, 2, 3, 17]",7,0.016+(((_sig_(0.334*(x[0]-22.28))))|_div_|(((_sig_(0.060*(x[0]-38.88))))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
28,"[[0], [0, 1, 0, 1, 3, 1, 2], [3, 2, 0, 0], [3, 1, 2], [0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 3, 4, 3, 6, 1, 2, 1, 8, 6, 5, 7, 2, 1, 5, 8, 1, 0, 3, 3, 7, 4]]",0.012340805172872059,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.361*(x[0]-21.86))))|_div_|(((_exp_((x[0]-57.21)|_div_|58.10)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
29,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 4, 3, 0, 1, 2, 7, 8, 6, 5, 7, 5, 8, 3, 3, 9, 0, 3, 3, 7, 4]]",0.01237084105685762,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.301*(x[0]-27.86))))|_div_|(((_exp_((x[0]-57.58)|_div_|33.90)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
30,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0], [0, 0, 0], [0, 3, 4, 3, 8, 4, 2, 0, 5, 6, 5, 4, 9, 8, 5, 3, 4, 2, 3, 3, 7, 4]]",0.01241960285054373,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.384*(x[0]-20.56))))|_div_|(((_exp_((x[0]-54.98)|_div_|53.42)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
31,"[[0], [0, 1, 0, 1, 3, 1, 2], [3, 2, 0, 0], [3, 3, 3], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 6, 3, 3, 4, 2, 2, 2, 3, 0, 6, 0, 3, 8, 9, 8, 7, 3, 3, 7, 4, 8, 5]]",0.012432788586203152,"[1, 5, 2, 2, 1, 2, 3, 17]",7,0.016+(((_sig_(0.334*(x[0]-22.23))))|_div_|(((_sig_(0.060*(x[0]-38.98))))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
32,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 8, 2, 7, 8, 2, 3, 8, 9, 4, 9, 9, 5, 3, 2, 1, 9, 3, 3, 7, 4]]",0.012443337741294073,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.038+(((_sig_(0.278*(x[0]-23.89))))|_div_|(((_exp_((x[0]-49.95)|_div_|32.19)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
33,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 4, 3, 6, 1, 2, 2, 7, 6, 5, 4, 9, 1, 5, 5, 5, 1, 3, 3, 7, 4]]",0.012487928470849837,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.361*(x[0]-22.76))))|_div_|(((_exp_((x[0]-54.91)|_div_|55.51)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
34,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 3], [0, 0], [0, 0], [0, 0, 0], [0, 0, 9, 2, 7, 8, 2, 6, 6, 1, 0, 4, 9, 4, 8, 2, 3, 7, 3, 3, 7, 4]]",0.012521769933738021,"[1, 5, 2, 2, 1, 2, 3, 17]",7,0.009+(((_sig_(0.278*(x[0]-26.61))))|_div_|(((_sig_(0.049*(x[0]-48.23))))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
35,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 4, 3, 8, 1, 2, 2, 2, 6, 5, 4, 9, 1, 5, 7, 5, 1, 3, 3, 7, 4]]",0.01254452103288808,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.381*(x[0]-22.26))))|_div_|(((_exp_((x[0]-54.91)|_div_|57.51)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
36,"[[0], [0, 0, 1, 1, 3, 1, 2], [3, 3], [3, 2], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 1, 3, 7, 6, 1, 7, 8, 9, 5, 9, 2, 9, 7, 8, 7, 4, 9, 4, 0]]",0.012618398832716343,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.031+((((_sig_(0.376*(x[0]-17.89))))|_div_|((_exp_((x[0]-59.29)|_div_|78.74))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
37,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 8, 2, 7, 9, 2, 3, 1, 7, 4, 9, 7, 5, 3, 3, 1, 7, 3, 3, 7, 4]]",0.012666124167973778,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.038+(((_sig_(0.279*(x[0]-23.17))))|_div_|(((_exp_((x[0]-49.75)|_div_|33.17)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
38,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 3], [0, 0], [0, 0, 0], [0, 0, 0], [0, 3, 4, 3, 8, 1, 2, 2, 8, 6, 5, 4, 9, 8, 5, 7, 5, 1, 3, 3, 7, 4]]",0.012730670414832312,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.034+(((_sig_(0.381*(x[0]-22.86))))|_div_|(((_exp_((x[0]-54.98)|_div_|57.51)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
39,"[[0], [0, 1, 0, 0, 2, 1, 1], [3, 2, 0, 0], [3, 1, 3], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 0, 6, 0, 5, 2, 0, 3, 1, 9, 6, 9, 2, 8, 5, 0, 0, 3, 3, 7, 4, 1, 2, 3, 0, 6, 5, 3]]",0.012752007423913558,"[1, 7, 3, 3, 0, 5, 3, 29]",8,0.030+(((_sig_(0.605*(x[0]-20.31))))|_div_|(((96.92)*((_exp_((x[0]-85.00)|_div_|33.74))))+((_sig_(0.123*(x[0]-06.53)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
40,"[[0], [0, 0, 1, 1, 3, 1, 2], [3, 3], [3, 1], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 0, 3, 8, 8, 1, 7, 5, 0, 5, 8, 6, 2, 9, 1, 1, 0, 9, 4, 0]]",0.01277526583695177,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.030+((((_sig_(0.388*(x[0]-17.50))))|_div_|((_exp_((x[0]-58.62)|_div_|91.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
41,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 1, 2, 5, 8, 2, 2, 9, 6, 4, 2, 0, 6, 3, 2, 1, 7, 3, 3, 7, 4]]",0.012795755342977735,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.031+(((_sig_(0.258*(x[0]-22.96))))|_div_|(((_exp_((x[0]-42.06)|_div_|32.17)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
42,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 2, 3], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 1, 2, 5, 3, 2, 2, 9, 6, 4, 2, 0, 6, 3, 2, 1, 7, 3, 3, 7, 4]]",0.012816310001711236,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.031+(((_sig_(0.253*(x[0]-22.96))))|_div_|(((_exp_((x[0]-42.06)|_div_|32.17)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
43,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 2], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 3, 3, 2, 4, 2, 2, 6, 7, 4, 0, 8, 1, 3, 2, 1, 7, 3, 3, 7, 4]]",0.012823307161739484,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.033+(((_sig_(0.324*(x[0]-22.67))))|_div_|(((_exp_((x[0]-40.81)|_div_|32.17)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
44,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 3, 3, 2, 7, 2, 2, 6, 8, 4, 0, 8, 4, 3, 2, 1, 7, 3, 3, 7, 4]]",0.012823763165540424,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.033+(((_sig_(0.327*(x[0]-22.68))))|_div_|(((_exp_((x[0]-40.84)|_div_|32.17)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
45,"[[0], [0, 0, 1, 1, 3, 1, 2], [3, 3], [3, 2], [0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 3, 3, 6, 0, 1, 7, 6, 9, 5, 9, 2, 9, 7, 8, 2, 7, 9, 4, 0]]",0.012863972178780941,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.023+((((_sig_(0.360*(x[0]-17.69))))|_div_|((_exp_((x[0]-59.29)|_div_|78.27))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
46,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 3, 6, 2, 4, 2, 2, 6, 7, 4, 4, 0, 1, 3, 2, 1, 7, 3, 3, 7, 4]]",0.0128720747097674,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.033+(((_sig_(0.624*(x[0]-22.67))))|_div_|(((_exp_((x[0]-44.01)|_div_|32.17)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
47,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 8, 2, 7, 9, 2, 2, 1, 7, 4, 4, 7, 5, 3, 3, 1, 7, 3, 3, 7, 4]]",0.012877820110794806,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.038+(((_sig_(0.279*(x[0]-22.17))))|_div_|(((_exp_((x[0]-44.75)|_div_|33.17)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
48,"[[0], [0, 0, 1, 1, 3, 1, 2], [3, 3], [3, 2], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 0, 3, 8, 8, 1, 7, 5, 0, 5, 5, 6, 2, 9, 1, 6, 1, 9, 4, 0]]",0.01293510602219595,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.030+((((_sig_(0.388*(x[0]-17.50))))|_div_|((_exp_((x[0]-55.62)|_div_|91.61))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
