,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
11,"[[0], [0, 1, 0, 3, 1, 1, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 6, 4, 0, 0, 1, 8, 7, 2, 8, 1, 9, 6, 9, 5, 4, 1, 4, 0, 8, 8, 0, 4, 2, 1, 3, 6, 9, 0]]",0.005915720197710654,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.026+(((_sig_(0.400*(x[0]-18.72))))|_div_|((x[0])*((_exp_((x[0]-81.96)|_div_|95.41))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
12,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 4, 4, 5, 4, 1, 9, 1, 4, 8, 1, 7, 1, 8, 2, 8, 6, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.005961236816475264,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.024+(((_sig_(0.454*(x[0]-19.14))))|_div_|((x[0])*((_exp_((x[0]-81.71)|_div_|82.86))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
13,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 4, 4, 5, 4, 1, 9, 1, 4, 8, 1, 7, 0, 8, 2, 8, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.005961825093555133,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.024+(((_sig_(0.454*(x[0]-19.14))))|_div_|((x[0])*((_exp_((x[0]-81.70)|_div_|82.82))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
14,"[[0], [0, 1, 0, 2, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 0, 5, 8, 0, 1, 5, 4, 2, 6, 5, 0, 3, 8, 2, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.00602791054571557,"[1, 5, 2, 2, 0, 4, 2, 22]",7,0.020+(((_sig_(0.580*(x[0]-15.42))))|_div_|((65.03)*((_exp_((x[0]-82.02)|_div_|41.06))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
15,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 1, 4, 4, 9, 1, 8, 7, 2, 8, 7, 8, 0, 8, 6, 3, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006063762039292607,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+(((_sig_(0.449*(x[0]-18.72))))|_div_|((x[0])*((_exp_((x[0]-87.80)|_div_|86.32))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
16,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 9, 2, 5, 4, 1, 9, 4, 4, 8, 3, 8, 0, 9, 9, 0, 5, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006093631111338685,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.029+(((_sig_(0.254*(x[0]-19.44))))|_div_|((x[0])*((_exp_((x[0]-83.80)|_div_|99.05))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
17,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 4, 4, 9, 4, 1, 9, 5, 4, 8, 3, 7, 0, 9, 6, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006146987299207957,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.024+(((_sig_(0.494*(x[0]-19.54))))|_div_|((x[0])*((_exp_((x[0]-83.70)|_div_|96.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
18,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 7, 3, 8, 0, 1, 8, 4, 4, 8, 1, 2, 0, 9, 2, 2, 5, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.0061657013468908286,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.027+(((_sig_(0.380*(x[0]-18.44))))|_div_|((x[0])*((_exp_((x[0]-81.20)|_div_|92.25))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
19,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 1, 3, 5, 2, 1, 7, 0, 4, 8, 6, 7, 8, 8, 6, 1, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006242926501532733,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+(((_sig_(0.352*(x[0]-17.04))))|_div_|((x[0])*((_exp_((x[0]-86.78)|_div_|86.12))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
20,"[[0], [0, 1, 0, 2, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 5, 5, 3, 0, 1, 5, 4, 2, 6, 5, 0, 3, 8, 2, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006495862835108377,"[1, 5, 2, 2, 0, 4, 2, 22]",7,0.025+(((_sig_(0.530*(x[0]-15.42))))|_div_|((65.03)*((_exp_((x[0]-82.02)|_div_|41.06))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
21,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 9, 4, 8, 9, 1, 9, 2, 2, 8, 8, 3, 5, 9, 4, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006533590109449999,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.019+(((_sig_(0.489*(x[0]-19.22))))|_div_|((x[0])*((_exp_((x[0]-88.35)|_div_|94.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
22,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 9, 4, 8, 9, 1, 9, 2, 0, 8, 8, 3, 0, 9, 4, 3, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006551344036838023,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.019+(((_sig_(0.489*(x[0]-19.20))))|_div_|((x[0])*((_exp_((x[0]-88.30)|_div_|94.32))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
23,"[[0], [0, 1, 0, 2, 1, 2, 2], [3, 2, 1], [3, 2, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 4, 6, 6, 2, 1, 4, 3, 2, 4, 7, 5, 1, 6, 8, 5, 3, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.0066092535372523275,"[1, 5, 2, 2, 0, 4, 2, 22]",7,0.024+(((_sig_(0.662*(x[0]-14.32))))|_div_|((47.51)*((_exp_((x[0]-68.53)|_div_|41.06))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
24,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0], [0, 0, 0], [0, 2, 2, 4, 4, 9, 1, 8, 7, 2, 8, 7, 8, 0, 8, 0, 2, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006646043335180656,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.022+(((_sig_(0.449*(x[0]-18.72))))|_div_|((x[0])*((_exp_((x[0]-87.80)|_div_|80.22))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
25,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 1, 4, 2, 2, 1, 7, 1, 0, 8, 1, 6, 8, 8, 6, 5, 0, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006672724079273911,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+(((_sig_(0.422*(x[0]-17.10))))|_div_|((x[0])*((_exp_((x[0]-81.68)|_div_|86.50))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
26,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0], [0, 0, 0], [0, 2, 1, 3, 5, 0, 1, 6, 4, 9, 8, 1, 1, 0, 8, 2, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006687894395742885,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+(((_sig_(0.350*(x[0]-16.49))))|_div_|((x[0])*((_exp_((x[0]-81.10)|_div_|82.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
27,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 1, 4, 4, 0, 1, 7, 4, 2, 8, 1, 7, 0, 8, 2, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006803557902196337,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+(((_sig_(0.440*(x[0]-17.42))))|_div_|((x[0])*((_exp_((x[0]-81.70)|_div_|82.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
28,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0], [0, 0, 0], [0, 2, 1, 4, 8, 9, 1, 7, 6, 7, 8, 1, 2, 3, 9, 2, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006892592573691638,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+(((_sig_(0.489*(x[0]-17.67))))|_div_|((x[0])*((_exp_((x[0]-81.23)|_div_|92.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
29,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 7, 3, 0, 1, 1, 9, 5, 7, 6, 1, 3, 6, 9, 2, 4, 5, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.00691832493735381,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.027+(((_sig_(0.301*(x[0]-19.57))))|_div_|((x[0])*((_exp_((x[0]-61.36)|_div_|92.45))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
30,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 7, 4, 4, 0, 1, 7, 4, 2, 7, 1, 7, 0, 8, 5, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006932487212429924,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.027+(((_sig_(0.440*(x[0]-17.42))))|_div_|((x[0])*((_exp_((x[0]-71.70)|_div_|85.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
31,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 8, 4, 4, 0, 1, 9, 3, 5, 8, 3, 7, 0, 8, 6, 7, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.006985797182106692,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.028+(((_sig_(0.440*(x[0]-19.35))))|_div_|((x[0])*((_exp_((x[0]-83.70)|_div_|86.72))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
32,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 4, 4, 5, 4, 1, 7, 6, 4, 8, 1, 0, 0, 8, 2, 1, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.007070178287477524,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.024+(((_sig_(0.454*(x[0]-17.64))))|_div_|((x[0])*((_exp_((x[0]-81.00)|_div_|82.12))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
33,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 1, 4, 5, 4, 1, 7, 1, 4, 8, 4, 1, 8, 8, 6, 0, 6, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.0071253052833656055,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+(((_sig_(0.454*(x[0]-17.14))))|_div_|((x[0])*((_exp_((x[0]-84.18)|_div_|86.06))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
34,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 6, 3, 7, 0, 1, 6, 6, 2, 8, 7, 7, 2, 8, 6, 0, 3, 4, 3, 5, 4, 0, 4, 2, 5, 3, 6, 9, 0]]",0.007161573118308819,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.016+(((_sig_(0.370*(x[0]-16.62))))|_div_|((x[0])*((_exp_((x[0]-87.72)|_div_|86.03))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
35,"[[0], [0, 1, 0, 1, 3, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 8, 3, 1, 2, 2, 4, 7, 2, 8, 5, 2, 4, 8, 7, 6, 1, 4, 1, 5, 4, 0, 4, 2, 1, 3, 6, 9, 0]]",0.007208952664675345,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.028+(((_sig_(0.312*(x[0]-24.72))))|_div_|(((_exp_((x[0]-85.24)|_div_|87.61)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
36,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 7, 4, 5, 4, 1, 8, 5, 4, 8, 1, 7, 7, 8, 3, 8, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.007230131014888654,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.027+(((_sig_(0.454*(x[0]-18.54))))|_div_|((x[0])*((_exp_((x[0]-81.77)|_div_|83.82))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
37,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 9, 4, 8, 8, 1, 9, 1, 2, 8, 1, 0, 0, 9, 2, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.007232121114666415,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.019+(((_sig_(0.488*(x[0]-19.12))))|_div_|((x[0])*((_exp_((x[0]-81.00)|_div_|92.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
38,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 9, 4, 8, 9, 1, 9, 4, 2, 8, 1, 2, 0, 9, 2, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.007254572687289191,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.029+(((_sig_(0.489*(x[0]-19.42))))|_div_|((x[0])*((_exp_((x[0]-81.20)|_div_|92.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
39,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 4, 4, 5, 4, 1, 7, 1, 4, 8, 1, 1, 0, 8, 6, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.007255987378452445,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.024+(((_sig_(0.454*(x[0]-17.14))))|_div_|((x[0])*((_exp_((x[0]-81.10)|_div_|86.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
40,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 1, 4, 5, 2, 1, 7, 1, 4, 8, 6, 1, 8, 8, 6, 1, 0, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.007289164188063556,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+(((_sig_(0.452*(x[0]-17.14))))|_div_|((x[0])*((_exp_((x[0]-86.18)|_div_|86.10))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
41,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 9, 4, 8, 9, 1, 9, 2, 2, 8, 1, 5, 0, 9, 4, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.0073265337716215155,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.029+(((_sig_(0.489*(x[0]-19.22))))|_div_|((x[0])*((_exp_((x[0]-81.50)|_div_|94.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
42,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 9, 4, 8, 9, 1, 9, 2, 2, 8, 1, 3, 0, 9, 4, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.007339430668068898,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.019+(((_sig_(0.489*(x[0]-19.22))))|_div_|((x[0])*((_exp_((x[0]-81.30)|_div_|94.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
43,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 0], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 2, 2, 3, 5, 1, 9, 8, 2, 7, 6, 0, 5, 8, 7, 2, 4, 4, 1, 5, 4, 0, 4, 2, 1, 3, 6, 9, 0]]",0.0075283981361109744,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.032+(((_sig_(0.235*(x[0]-19.82))))|_div_|((x[0])*((_exp_((x[0]-76.05)|_div_|87.24))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
44,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 6, 3, 7, 0, 1, 6, 2, 4, 8, 7, 7, 2, 8, 6, 0, 3, 4, 3, 5, 4, 0, 4, 2, 5, 3, 6, 9, 0]]",0.007551532252373982,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.016+(((_sig_(0.370*(x[0]-16.24))))|_div_|((x[0])*((_exp_((x[0]-87.72)|_div_|86.03))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
45,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 4, 4, 6, 4, 1, 7, 1, 4, 8, 3, 1, 0, 8, 6, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.0076152739606741085,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.024+(((_sig_(0.464*(x[0]-17.14))))|_div_|((x[0])*((_exp_((x[0]-83.10)|_div_|86.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
